category,title,author,publisher,year,publication_place,page_count,book_url,image_url
history,Dünya tarixinin Turan dövrü,Siyablı Ələsgər,Köhlən,2021,Bakı,635,https://www.preslib.az/az/elibrary/ebook/mqtuhvf,https://www.ebooks.az/image/cover/mqtuhvf
history,Turan sivilizasiyasına giriş: Turan məfkurəsi və tanrıçılıq,Ələkbərli Faiq Qəzənfər oğlu,Elm və təhsil,2021,Bakı,492,https://www.preslib.az/az/elibrary/ebook/ojbvyzw,https://www.ebooks.az/image/cover/ojbvyzw
history,XIX əsr Borçalı əhalisinin imtiyazlı zümrələri kameral təsvirlərdə,Valehoğlu Fəxri,Elm,2021,Bakı,320,https://www.preslib.az/az/elibrary/ebook/rkohwpa,https://www.ebooks.az/image/cover/rkohwpa
history,Arxeologiya,Dostiyev Tarix,Elm və təhsil,2021,Bakı,396,https://www.preslib.az/az/elibrary/ebook/1kULPXW,https://www.ebooks.az/image/cover/1kULPXW
history,Türkiyədə Azərbaycan diasporunun formalaşması: XX əsr,Əsgərova Zəminə Məhəmməd qızı,Afpoliqraf,2021,Bakı,164,https://www.preslib.az/az/elibrary/ebook/WIZpnmP,https://www.ebooks.az/image/cover/WIZpnmP
history,Historische Persönlichkeiten,,ADPU,2021,Bakı,66,https://www.preslib.az/az/elibrary/ebook/uzklgfy,https://www.ebooks.az/image/cover/uzklgfy
history,Докавказская история армян,Вердиева Хаджар Юсиф кызы,Фиюзат,2021,Баку,288,https://www.preslib.az/az/elibrary/ebook/pymlkuh,https://www.ebooks.az/image/cover/pymlkuh
history,Türkiyə 1918-1920-ci illərdə: məğlubiyyətdən qələbəyə doğru,Şirinoğlu Vaqif,Avropa nəşriyyatı,2020,Bakı,192,https://www.preslib.az/az/elibrary/ebook/lxmzhcn,https://www.ebooks.az/image/cover/lxmzhcn
history,Türkmənlərin mənəvi dünyası,Berdiməhəmədov Qurbanqulu,Şərq-Qərb,2020,Bakı,312,https://www.preslib.az/az/elibrary/ebook/jvcOKUN,https://www.ebooks.az/image/cover/jvcOKUN
history,"Коварство, ложь и нравственность",Какабадзе Важа,Publishing House S.D.,2020,Тбилиси,145,https://www.preslib.az/az/elibrary/ebook/1SzUGa0C,https://www.ebooks.az/image/cover/1SzUGa0C
history,"За свободу и независимость Кавказа. Прометеевское движение в секретных документах и материалах участников, наблюдателей и противников",,JekoPrint,2020,Баку,452,https://www.preslib.az/az/elibrary/ebook/MZDLEpiK,https://www.ebooks.az/image/cover/MZDLEpiK
history,Turan Uygarlığına Giriş: Turan Mefkuresi ve Tanrıcılık,Elekberli Faik,Astana Yayınları,2020,Ankara,356,https://www.preslib.az/az/elibrary/ebook/xybjzfr,https://www.ebooks.az/image/cover/xybjzfr
history,"Die wahre Geschichte und die fiktion über ""Großarmenien""",Mahmudov Yagub Mikayil,Turkhan,2020,Baku,152,https://www.preslib.az/az/elibrary/ebook/7BoHKw4,https://www.ebooks.az/image/cover/7BoHKw4
history,I Maxta ilk tunc dövrü abidəsi: I kitab,"Aşurov Səfər, Hüseynova Sevinc, Əliyeva Fidan",Apostrof-A,2020,Bakı,147,https://www.preslib.az/az/elibrary/ebook/bxecjfy,https://www.ebooks.az/image/cover/bxecjfy
history,Erməni diasporu,Cəfərov Taleh Vəzir oğlu,Elm və təhsil,2019,Bakı,232,https://www.preslib.az/az/elibrary/ebook/ONR3GuTQ,https://www.ebooks.az/image/cover/ONR3GuTQ
history,"Gürcüstan: inzibati-ərazi quruluşu, idarəçiliyi və demoqrafiyası",,MTM-İnnovation,2019,Bakı,320,https://www.preslib.az/az/elibrary/ebook/leawptj,https://www.ebooks.az/image/cover/leawptj
history,Qazax xanlığı,,Azəri poliqrafiya,2019,Sumqayıt,224,https://www.preslib.az/az/elibrary/ebook/aeocrdw,https://www.ebooks.az/image/cover/aeocrdw
history,Bolnis-Kəpənəkçi kəndi: XIX yüzilə aid kameral təsvirlərdə,,Kooperasiya nəşriyyatı,2019,Bakı,58,https://www.preslib.az/az/elibrary/ebook/yxbmpqj,https://www.ebooks.az/image/cover/yxbmpqj
history,İskit-Sibir dünyası və Azərbaycan,Mahmudova Hicran Rəhman qızı,Ecoprint,2019,Bakı,220,https://www.preslib.az/az/elibrary/ebook/UXlKsaY,https://www.ebooks.az/image/cover/UXlKsaY
history,"Qədim türk ərənləri: portret oçerklər, qədim türk tarixindən səhifələr",Rəcəbli Qəzənfər Əjdər oğlu,Vətən,2019,Bakı,260,https://www.preslib.az/az/elibrary/ebook/EM6PUSR,https://www.ebooks.az/image/cover/EM6PUSR
